deer_w2,moose_w2,elk_w2,sheep_w2,goat_w2,wolf_w2,Elevation2,DistFromHumanAccess2,DistFromHighHumanAccess2,landcover16,EASTING,NORTHING,pack,used,usedFactor,habitatType,landcov.f,closedConif,modConif,openConif,decid,regen,mixed,herb,shrub,water,rockIce,burn,alpineHerb,alpineShrub,alpine
4,5,5,3,3,5,1766.146222,427.3961825,9367.816816,8,580840,5724800,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,4,1,3,4,1788.78,360.5042958,10398.59985,2,580000,5724195,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1765.100444,283.6648012,10296.5167,2,579800,5724800,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1742.913333,167.4134405,6347.819262,2,583803,5725654,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1987.393778,27.90951448,8853.862258,2,573900,5741316,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,1778.36,622.6257277,723.7941452,13,588573,5728804,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,5,5,4,1,5,1764.313333,373.2100797,9331.240258,2,580785,5724966,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1764.313333,373.2100797,9331.240258,2,580785,5724966,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,1,5,1716.679556,248.0990936,6884.413588,1,583410,5725264,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,3,4,1709.146222,316.9237079,6327.79326,7,584234,5725034,Red Deer,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,5,4,1,3,4,1709.146222,316.9237079,6327.79326,7,584234,5725034,Red Deer,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,3,6,1,5,6,1826.987111,527.6888567,6743.718851,13,583114,5726123,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,5,5,3,1,5,1712.533333,42.58655953,6094.204885,1,584350,5725300,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,3,3,4,2007.452889,2105.199913,9342.661689,2,575450,5717684,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,5,6,4,2225.079556,824.2435152,901.8039938,16,558480,5719440,Red Deer,1,1,Alpine Shrub,Alpine Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,3,3,5,6,4,2225.079556,824.2435152,901.8039938,16,558480,5719440,Red Deer,1,1,Alpine Shrub,Alpine Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,2174.193778,92.08390196,11339.46061,8,576430,5738410,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2174.193778,92.08390196,11339.46061,8,576430,5738410,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,4,4,3,4,2086.333778,1289.252854,1595.905179,1,570610,5710430,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2086.333778,1289.252854,1595.905179,1,570610,5710430,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,1,4,2007.526222,519.0539565,607.8524833,3,559311,5716123,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,1,4,2007.526222,519.0539565,607.8524833,3,559311,5716123,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,3,4,1708.720444,372.5865595,5988.120755,10,584800,5724900,Red Deer,1,1,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,5,3,1,5,1714.533333,8.52360412,6108.918341,8,584270,5725360,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,5,4,1,5,1733.38,315.6316444,6095.999605,8,584050,5725750,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,5,4,1,5,1771.059556,370.7586049,6378.531952,2,583650,5725850,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2174.193778,92.08390196,11339.46061,8,576430,5738410,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2174.193778,92.08390196,11339.46061,8,576430,5738410,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,4,4,3,4,2086.333778,1289.252854,1595.905179,1,570610,5710430,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2086.333778,1289.252854,1595.905179,1,570610,5710430,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,1,4,2007.526222,519.0539565,607.8524833,3,559311,5716123,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,1,4,2007.526222,519.0539565,607.8524833,3,559311,5716123,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,1,4,1966.600444,132.5865595,196.9529767,2,559095,5720124,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,3,5,1801.540444,94.45582445,18.32476034,8,559145,5713337,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,4,4,4,4,2169.712889,1704.150549,9264.564677,2,580310,5708450,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,4,4,4,2169.712889,1704.150549,9264.564677,2,580310,5708450,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
