"nLocs","nRes","nInt","nMig","DE","GDM","Year","tRes","tInt","tMig","UseIntensity","Total","ResUI","IntUI","MigUI","GDM10","ResGDM10","IntGDM10","MigGDM10"
1,0,0,1,2.87810066059031,31.7801878679782,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.17801878679782,0,0,3.17801878679782
1,0,0,1,2.83426325107282,34.595664946271,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.4595664946271,0,0,3.4595664946271
1,0,0,1,2.63156832805095,33.6288349314771,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.36288349314771,0,0,3.36288349314771
1,0,0,1,2.73560149737173,34.8590890112592,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.48590890112592,0,0,3.48590890112592
1,0,0,1,2.74902628685033,40.9203336353117,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,4.09203336353117,0,0,4.09203336353117
1,0,0,1,2.92322784650215,25.6453473366535,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.56453473366535,0,0,2.56453473366535
2,0,0,2,3.01846787181183,28.760471560778,"2014",480,864,480,0.00109649122807018,1824,0,0,0.00416666666666667,2.8760471560778,0,0,2.8760471560778
1,0,0,1,2.84836959546536,47.9342825593061,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,4.79342825593061,0,0,4.79342825593061
1,0,0,1,2.9261393245235,33.4226159921477,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.34226159921477,0,0,3.34226159921477
1,0,0,1,2.9930631881408,28.7372567022632,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.87372567022632,0,0,2.87372567022632
1,0,0,1,2.8784496991767,40.061642926771,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,4.0061642926771,0,0,4.0061642926771
4,0,0,4,2.8969971293408,37.4554827893908,"2014",480,864,480,0.00219298245614035,1824,0,0,0.00833333333333333,3.74554827893908,0,0,3.74554827893908
1,0,0,1,2.90770099140086,27.1276738789162,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.71276738789162,0,0,2.71276738789162
1,0,0,1,2.90035158835584,35.1857238384908,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.51857238384908,0,0,3.51857238384908
